"NTEE","BroadCategory","MajorGroup","two.digit","type.org","two.digit.s","tens","ones","hosp","univ"
"A01",1,"A","01","S","01","0","1",FALSE,FALSE
"A0161",1,"A","01","S","61","6","1",FALSE,FALSE
"A02",1,"A","02","S","02","0","2",FALSE,FALSE
"A0226",1,"A","02","S","26","2","6",FALSE,FALSE
"A0254",1,"A","02","S","54","5","4",FALSE,FALSE
"A0261",1,"A","02","S","61","6","1",FALSE,FALSE
"A0282",1,"A","02","S","82","8","2",FALSE,FALSE
"A0290",1,"A","02","S","90","9","0",FALSE,FALSE
"A03",1,"A","03","S","03","0","3",FALSE,FALSE
"A0320",1,"A","03","S","20","2","0",FALSE,FALSE
"A0325",1,"A","03","S","25","2","5",FALSE,FALSE
"A0330",1,"A","03","S","30","3","0",FALSE,FALSE
"A0333",1,"A","03","S","33","3","3",FALSE,FALSE
"A0340",1,"A","03","S","40","4","0",FALSE,FALSE
"A0350",1,"A","03","S","50","5","0",FALSE,FALSE
"A0360",1,"A","03","S","60","6","0",FALSE,FALSE
"A0361",1,"A","03","S","61","6","1",FALSE,FALSE
"A0365",1,"A","03","S","65","6","5",FALSE,FALSE
"A0368",1,"A","03","S","68","6","8",FALSE,FALSE
"A0369",1,"A","03","S","69","6","9",FALSE,FALSE
"A0370",1,"A","03","S","70","7","0",FALSE,FALSE
"A0380",1,"A","03","S","80","8","0",FALSE,FALSE
"A05",1,"A","05","S","05","0","5",FALSE,FALSE
"A0534",1,"A","05","S","34","3","4",FALSE,FALSE
"A0561",1,"A","05","S","61","6","1",FALSE,FALSE
"A11",1,"A","11","S","11","0","1",FALSE,FALSE
"A1120",1,"A","11","S","20","2","0",FALSE,FALSE
"A1132",1,"A","11","S","32","3","2",FALSE,FALSE
"A1140",1,"A","11","S","40","4","0",FALSE,FALSE
"A1150",1,"A","11","S","50","5","0",FALSE,FALSE
"A1151",1,"A","11","S","51","5","1",FALSE,FALSE
"A1152",1,"A","11","S","52","5","2",FALSE,FALSE
"A1154",1,"A","11","S","54","5","4",FALSE,FALSE
"A1160",1,"A","11","S","60","6","0",FALSE,FALSE
"A1161",1,"A","11","S","61","6","1",FALSE,FALSE
"A1162",1,"A","11","S","62","6","2",FALSE,FALSE
"A1165",1,"A","11","S","65","6","5",FALSE,FALSE
"A1169",1,"A","11","S","69","6","9",FALSE,FALSE
"A1170",1,"A","11","S","70","7","0",FALSE,FALSE
"A1180",1,"A","11","S","80","8","0",FALSE,FALSE
"A12",1,"A","12","S","12","0","2",FALSE,FALSE
"A1226",1,"A","12","S","26","2","6",FALSE,FALSE
"A1230",1,"A","12","S","30","3","0",FALSE,FALSE
"A1232",1,"A","12","S","32","3","2",FALSE,FALSE
"A1260",1,"A","12","S","60","6","0",FALSE,FALSE
"A1261",1,"A","12","S","61","6","1",FALSE,FALSE
"A1265",1,"A","12","S","65","6","5",FALSE,FALSE
"A19",1,"A","19","S","19","0","9",FALSE,FALSE
"A1920",1,"A","19","S","20","2","0",FALSE,FALSE
"A1961",1,"A","19","S","61","6","1",FALSE,FALSE
"A1969",1,"A","19","S","69","6","9",FALSE,FALSE
"A20",1,"A","20","R","20","2","0",FALSE,FALSE
"A23",1,"A","23","R","23","2","3",FALSE,FALSE
"A24",1,"A","24","R","24","2","4",FALSE,FALSE
"A25",1,"A","25","R","25","2","5",FALSE,FALSE
"A26",1,"A","26","R","26","2","6",FALSE,FALSE
