"ntee","description","definition","BroadCategory","MajorGroup","two.digit","type.org","two.digit.s","tens","ones","hosp","univ"
"A01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Arts, Culture, and Humanities major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",1,"A","01","speciality","01","0","1",FALSE,FALSE
"A02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Arts, Culture, and Humanities major group area.",1,"A","02","speciality","02","0","2",FALSE,FALSE
"A03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Arts, Culture, and Humanities major group area.",1,"A","03","speciality","03","0","3",FALSE,FALSE
"A05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Arts, Culture, and Humanities major group area",1,"A","05","speciality","05","0","5",FALSE,FALSE
"A11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Arts, Culture & Humanities major group.",1,"A","11","speciality","11","0","1",FALSE,FALSE
"A12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Arts, Culture, and Humanities major group area.",1,"A","12","speciality","12","0","2",FALSE,FALSE
"A19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Arts, Culture, and Humanities major group area.",1,"A","19","speciality","19","0","9",FALSE,FALSE
"A20","Arts & Culture","Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.",1,"A","20","regular","20","2","0",FALSE,FALSE
"A23","Cultural & Ethnic Awareness","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.",1,"A","23","regular","23","2","3",FALSE,FALSE
"A24","Folk Arts","Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures and organizations that perform, present and support folk art in a specific region.",1,"A","24","regular","24","2","4",FALSE,FALSE
"A25","Arts Education","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.",1,"A","25","regular","25","2","5",FALSE,FALSE
"A26","Arts & Humanities Councils & Agencies","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.",1,"A","26","regular","26","2","6",FALSE,FALSE
"A27","Community Celebrations","Organizations that are engaged in the promotion, production or performance of community and public celebratory events.",1,"A","27","regular","27","2","7",FALSE,FALSE
"A30","Media & Communications","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.",1,"A","30","regular","30","3","0",FALSE,FALSE
"A31","Film & Video","Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.",1,"A","31","regular","31","3","1",FALSE,FALSE
"A32","Television","Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.",1,"A","32","regular","32","3","2",FALSE,FALSE
"A33","Printing & Publishing","Organizations that publish a variety of materials on diverse topics. Includes university presses.",1,"A","33","regular","33","3","3",FALSE,FALSE
"A34","Radio","Organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services).",1,"A","34","regular","34","3","4",FALSE,FALSE
"A40","Visual Arts","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.",1,"A","40","regular","40","4","0",FALSE,FALSE
"A50","Museums","Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.",1,"A","50","regular","50","5","0",FALSE,FALSE
"A51","Art Museums","Organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style.",1,"A","51","regular","51","5","1",FALSE,FALSE
"A52","Children's Museums","Organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits. NOTE: See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children.",1,"A","52","regular","52","5","2",FALSE,FALSE
"A53","Folk Arts Museums<i>(Draft Code - not for internal IRS use)</i>","Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans.",1,"A","53","regular","53","5","3",FALSE,FALSE
"A54","History Museums","Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.",1,"A","54","regular","54","5","4",FALSE,FALSE
"A56","Natural History & Natural Science Museums","Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology.",1,"A","56","regular","56","5","6",FALSE,FALSE
"A57","Science & Technology Museums","Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.",1,"A","57","regular","57","5","7",FALSE,FALSE
"A60","Performing Arts","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.",1,"A","60","regular","60","6","0",FALSE,FALSE
"A61","Performing Arts Centers","Organizations that operate facilities including theaters for the performing arts.",1,"A","61","regular","61","6","1",FALSE,FALSE
"A62","Dance","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.",1,"A","62","regular","62","6","2",FALSE,FALSE
"A63","Ballet","Dance organizations that create and/or perform primarily ballet.",1,"A","63","regular","63","6","3",FALSE,FALSE
"A65","Theater","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)",1,"A","65","regular","65","6","5",FALSE,FALSE
"A68","Music","Organizations whose primary activity is the production of musical events, including concert series and music festivals.",1,"A","68","regular","68","6","8",FALSE,FALSE
"A69","Symphony Orchestras","Organizations whose primary activity is the operation of a symphony <p> orchestra including youth symphonies.",1,"A","69","regular","69","6","9",FALSE,FALSE
"A6A","Opera","Organizations whose primary activity is the production of operas.",1,"A","6A","regular","6A","6","A",FALSE,FALSE
"A6B","Singing & Choral Groups","Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles.",1,"A","6B","regular","6B","6","B",FALSE,FALSE
"A6C","Bands & Ensembles","Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues.",1,"A","6C","regular","6C","6","C",FALSE,FALSE
"A6E","Performing Arts Schools","Organizations that offer classes in the performing arts but do not confer academic degrees.",1,"A","6E","regular","6E","6","E",FALSE,FALSE
"A70","Humanities","Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).",1,"A","70","regular","70","7","0",FALSE,FALSE
"A80","Historical Organizations","Organizations that promote awareness of and appreciation for history and historical artifacts. Use this code for organizations that are not specified below.",1,"A","80","regular","80","8","0",FALSE,FALSE
"A82","Historical Societies & Historic Preservation","Organizations that interpret, collect and preserve the historical heritage of a specific geographic location.",1,"A","82","regular","82","8","2",FALSE,FALSE
"A84","Commemorative Events","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.",1,"A","84","regular","84","8","4",FALSE,FALSE
"A90","Arts Services","Organizations that provide services such as facilities or touring assistance for arts organizations.",1,"A","90","regular","90","9","0",FALSE,FALSE
"A99","Arts, Culture & Humanities N.E.C.","Organizations that provide arts and humanities services or products not covered by other categories.",1,"A","99","regular","99","9","9",FALSE,FALSE
"B01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Education major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures.",2,"B","01","speciality","01","0","1",FALSE,FALSE
"B02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Education major group area.",2,"B","02","speciality","02","0","2",FALSE,FALSE
"B03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Education major group area.",2,"B","03","speciality","03","0","3",FALSE,FALSE
"B05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Education major group area.",2,"B","05","speciality","05","0","5",FALSE,FALSE
"B11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Education major group.",2,"B","11","speciality","11","0","1",FALSE,FALSE
"B12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Education major group area.",2,"B","12","speciality","12","0","2",FALSE,FALSE
"B19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Education major group area.",2,"B","19","speciality","19","0","9",FALSE,FALSE
"B20","Elementary & Secondary Schools","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.",2,"B","20","regular","20","2","0",FALSE,FALSE
"B21","Preschools","Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.",2,"B","21","regular","21","2","1",FALSE,FALSE
"B24","Primary & Elementary Schools","Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.",2,"B","24","regular","24","2","4",FALSE,FALSE
"B25","Secondary & High Schools","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.",2,"B","25","regular","25","2","5",FALSE,FALSE
"B28","Special Education","Organizations that provide educational services including special placement and individualized programming, instruction and support services for children and youth who are gifted or have disabilities and require appropriately modified curricula, teaching methodologies and instructional materials in order to learn.",2,"B","28","regular","28","2","8",FALSE,FALSE
"B29","Charter Schools","Schools run independently of the traditional public school system but receiving public funding and operating by a charter. This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success.",2,"B","29","regular","29","2","9",FALSE,FALSE
"B30","Vocational & Technical Schools","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.",2,"B","30","regular","30","3","0",FALSE,FALSE
"B40","Higher Education","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below.",11,"B","40","regular","40","4","0",FALSE,TRUE
"B41","Two-Year Colleges","Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate.",11,"B","41","regular","41","4","1",FALSE,TRUE
"B42","Undergraduate Colleges","Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.",11,"B","42","regular","42","4","2",FALSE,TRUE
"B43","Universities","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.",11,"B","43","regular","43","4","3",FALSE,TRUE
"B50","Graduate & Professional Schools","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.",11,"B","50","regular","50","5","0",FALSE,TRUE
"B60","Adult Education","Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest.",2,"B","60","regular","60","6","0",FALSE,FALSE
"B70","Libraries","Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.",2,"B","70","regular","70","7","0",FALSE,FALSE
"B80","Student Services","Organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life.",2,"B","80","regular","80","8","0",FALSE,FALSE
"B82","Scholarships & Student Financial Aid","Organizations that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school.",2,"B","82","regular","82","8","2",FALSE,FALSE
"B83","Student Sororities & Fraternities","Associations for male and female students which are chapters of national or international organizations, have secret rites and restricted membership, and may undertake, as a part of their activities, community improvement or charitable projects. Included are student sororities and fraternities and honorary societies that represent specific academic disciplines.",2,"B","83","regular","83","8","3",FALSE,FALSE
